# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,181,2.473442541832911e-09,5.117104524804895e-21,1767
0,0,182,2.495214011442057e-09,5.345652167008764e-21,1766
0,0,183,2.51019575403482e-09,5.520272258642675e-21,1768
0,0,184,2.439650845087843e-09,4.592622638731172e-21,1756
0,0,185,2.461575911187953e-09,5.056933372910721e-21,1755
0,0,186,2.449835070725959e-09,4.070337034263203e-21,1761
0,0,187,2.505744451870519e-09,4.849688413695265e-21,1752
0,0,188,2.522436653279432e-09,5.020440844782725e-21,1756
0,0,189,2.550859942584112e-09,5.856579629607767e-21,1750
0,0,190,2.636771232822764e-09,1.013242909503629e-20,1747
0,0,191,2.585349990112439e-09,7.409638059809276e-21,1748
0,0,192,2.558332973794213e-09,5.441756510882533e-21,1745
0,0,193,2.651900360286632e-09,7.768064499613727e-21,1746
0,0,194,2.611910829304708e-09,5.774280498125229e-21,1738
0,0,195,2.57390159812247e-09,5.059001656001592e-21,1742
0,0,196,2.646843280091835e-09,7.19734546411257e-21,1735
0,0,197,2.665332492751376e-09,6.837793655310389e-21,1733
0,0,198,2.623320921668146e-09,5.322644901085654e-21,1728
0,0,199,2.630206777305686e-09,5.477753214908823e-21,1723
0,0,200,2.59596169565856e-09,4.542439193024967e-21,1725
0,0,201,2.613847066836689e-09,4.925240059509144e-21,1724
0,0,202,2.69436554830312e-09,5.933935900979067e-21,1726
0,0,203,2.703143579059245e-09,5.765086733974494e-21,1726
0,0,204,2.755629571223682e-09,6.212106162277387e-21,1720
0,0,205,2.7396347536322e-09,6.076736646247085e-21,1716
0,0,206,2.78198202665715e-09,7.219624521265446e-21,1716
0,0,207,2.721319626808183e-09,5.366623929019666e-21,1706
0,0,208,2.7536162183809e-09,6.499945237492729e-21,1706
0,0,209,2.782411396160894e-09,5.90630654564074e-21,1707
0,0,210,2.872311261464851e-09,7.657463351107843e-21,1707
0,0,211,2.864951386322421e-09,6.794220024491027e-21,1701
0,0,212,2.913349060655402e-09,7.622288070708008e-21,1702
0,0,213,2.944895232821184e-09,1.007968297661234e-20,1698
0,0,214,2.964263239429572e-09,7.961715753422711e-21,1690
0,0,215,2.956680473231379e-09,7.739438645603416e-21,1684
0,0,216,2.956997268496588e-09,7.303327907972978e-21,1683
0,0,217,2.979687032791816e-09,7.614014192892928e-21,1679
0,0,218,3.026904547731806e-09,8.063315763655278e-21,1681
0,0,219,3.01384230435976e-09,7.623855296992595e-21,1675
0,0,220,2.965334605742272e-09,6.277422084266497e-21,1670
0,0,221,2.999443953497193e-09,6.343187007935177e-21,1675
0,0,222,3.029028136355222e-09,6.461388372754908e-21,1665
0,0,223,3.166210467361533e-09,9.377120957545519e-21,1661
0,0,224,3.192426319221948e-09,9.242411666523926e-21,1662
0,0,225,3.18762499243208e-09,8.201882700843545e-21,1659
0,0,226,3.164398030651364e-09,7.239856210660101e-21,1652
0,0,227,3.181385084825067e-09,7.179853367244262e-21,1650
0,0,228,3.269290646560893e-09,9.078903838657315e-21,1644
0,0,229,3.314957525881964e-09,9.334779395160498e-21,1644
0,0,230,3.366125872975477e-09,8.638238276481479e-21,1642
0,0,231,3.488173009138581e-09,1.327732685763653e-20,1633
0,0,232,3.459495293693017e-09,9.707805564954426e-21,1629
0,0,233,3.415073375225291e-09,8.162110825050504e-21,1622
0,0,234,3.530013124114426e-09,1.00486800333872e-20,1615
0,0,235,3.576657692496768e-09,9.704790592928503e-21,1612
0,0,236,3.587533929601051e-09,9.529088169770637e-21,1604
0,0,237,3.590182708740098e-09,9.001897663113326e-21,1596
0,0,238,3.722368095315864e-09,1.225560717498907e-20,1594
0,0,239,3.730418809994915e-09,9.909544824426184e-21,1591
0,0,240,3.819646703787943e-09,1.115457122275574e-20,1589
0,0,241,3.856971095790152e-09,1.030867617032632e-20,1582
0,0,242,3.95662826239613e-09,1.09215320115577e-20,1582
0,0,243,4.085240788618803e-09,1.197354285912419e-20,1585
0,0,244,4.198894127376725e-09,1.279523469297487e-20,1577
0,0,245,4.285812002463237e-09,1.283755360966256e-20,1581
0,0,246,4.49855416041521e-09,1.601531919333347e-20,1576
0,0,247,4.637186322580306e-09,1.71179298417429e-20,1570
0,0,248,4.822415670208082e-09,1.855494265660031e-20,1559
0,0,249,5.016633558529076e-09,2.050767887596913e-20,1555
0,0,250,5.121392128931828e-09,2.033218684179034e-20,1541
0,0,251,5.364077469843504e-09,2.194063137878836e-20,1532
0,0,252,5.710204730977567e-09,2.679898998230436e-20,1516
0,0,253,6.017651662887473e-09,2.87444350621092e-20,1508
0,0,254,6.453092538478224e-09,3.594460630476973e-20,1488
0,0,255,6.835144807235486e-09,3.930227733852249e-20,1454
0,0,256,7.406797396137322e-09,4.848672014195784e-20,1416
0,0,257,7.788471447235045e-09,5.475176119968238e-20,1356
0,0,258,7.780374169179741e-09,5.862855234108979e-20,1256
0,0,259,7.454038002401587e-09,6.234747564134827e-20,1099
0,0,260,6.689977395316077e-09,5.826253692240448e-20,926
0,0,261,5.804865489448848e-09,5.347970747276414e-20,750
0,0,262,4.555320000840576e-09,4.505939290843202e-20,540
0,0,263,2.988947473075555e-09,3.003064995020633e-20,358
0,0,264,1.77969820115165e-09,1.782594376798219e-20,216
0,0,265,1.009180829855358e-09,1.027381765150224e-20,131
0,0,266,5.103257317934174e-10,4.974060828049947e-21,76
0,0,267,3.022509839377934e-10,3.395456244317448e-21,39
0,0,268,8.630788994023071e-11,7.762172498540737e-22,21
0,0,269,3.64416538102914e-11,3.886984494812077e-22,15
0,0,270,4.970250432063554e-12,6.278663595350462e-24,10
0,0,271,2.773484860770051e-12,2.728629834113588e-24,12
0,0,272,3.447494666148459e-12,4.012233617073244e-24,14
0,0,273,2.886999740952183e-12,2.573513621423515e-24,10
0,0,274,3.648402534374162e-12,3.974558480285481e-24,11
0,0,275,4.552694305485507e-12,5.136953193705818e-24,9
0,0,276,3.34700097986727e-12,3.401963957401536e-24,14
0,0,277,9.490074736447493e-12,2.968765639026146e-23,9
